Net generation for all fuels (utility-scale) monthly
https://www.eia.gov/electricity/data/browser/#/topic/0?agg=1,0,2&fuel=g&geo=vvvvvvvvvvvvo&sec=o3g&linechart=ELEC.GEN.ALL-NEW-99.M~ELEC.GEN.ALL-MAT-99.M~ELEC.GEN.ALL-ENC-99.M~ELEC.GEN.ALL-WNC-99.M~ELEC.GEN.ALL-SAT-99.M~ELEC.GEN.ALL-ESC-99.M~ELEC.GEN.ALL-MTN-99.M~ELEC.GEN.ALL-WSC-99.M~ELEC.GEN.ALL-PCN-99.M~ELEC.GEN.ALL-PCC-99.M&columnchart=ELEC.GEN.ALL-NEW-99.M~ELEC.GEN.ALL-MAT-99.M~ELEC.GEN.ALL-ENC-99.M~ELEC.GEN.ALL-WNC-99.M~ELEC.GEN.ALL-SAT-99.M~ELEC.GEN.ALL-ESC-99.M~ELEC.GEN.ALL-MTN-99.M~ELEC.GEN.ALL-WSC-99.M~ELEC.GEN.ALL-PCN-99.M~ELEC.GEN.ALL-PCC-99.M&map=ELEC.GEN.ALL-US-99.M&freq=M&start=200101&end=201702&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin=
11:15:20 GMT-0400 (EDT)
Data source: U.S. Energy Information Administration
Month,New England : all sectors thousand megawatthours,Middle Atlantic : all sectors thousand megawatthours,East North Central : all sectors thousand megawatthours,West North Central : all sectors thousand megawatthours,South Atlantic : all sectors thousand megawatthours,East South Central : all sectors thousand megawatthours,Mountain : all sectors thousand megawatthours,West South Central : all sectors thousand megawatthours,Pacific Noncontiguous : all sectors thousand megawatthours,Pacific Contiguous : all sectors thousand megawatthours
Oct 2006,10563.84823,31834.48644,53127.10633,24633.35273,62985.28682,30412.34582,28593.42715,48554.32343,1547.51384,29315.40055
Sep 2006,11023.92292,33130.1358,50741.76842,24477.34602,67024.34741,31175.28152,30260.77832,52758.59033,1460.92794,30002.2222
Aug 2006,12762.17085,42382.40807,63501.96594,29409.0345,84039.13933,38401.63971,35063.08301,66807.95359,1676.89376,33718.24764
Jul 2006,13614.42655,44097.68269,63607.51038,29919.15962,82287.82656,37332.17724,34693.4267,64469.85334,1595.27055,38803.45974
Jun 2006,11622.16474,37314.42807,55460.5705,26093.9617,73342.85878,33785.25436,30808.9681,58685.64487,1517.03206,35628.91439
May 2006,10569.09111,33368.3592,51327.75353,23468.26422,65947.22823,30069.02466,27320.62946,53906.83074,1475.68245,33162.70644
Apr 2006,9493.64844,30292.84994,46539.01662,22276.57582,59912.54026,27071.53705,24662.65515,46691.88005,1423.69602,29493.67819
Mar 2006,10795.13547,33893.46694,52943.46264,24189.34562,63608.94172,28608.40368,27944.70589,44968.24026,1493.6149,30284.48249
Feb 2006,10067.88863,32140.47932,51540.30866,24211.62195,62577.58194,29301.98254,25526.02233,42238.7215,1357.97708,28370.84608
Jan 2006,10992.71936,35163.17578,55163.24104,26011.3617,65424.14185,30687.40174,28620.42223,44110.24925,1566.12105,30918.90447
Dec 2005,11493.85159,37209.11237,59556.65916,27198.07858,68982.01499,33687.91496,30127.60079,47904.82261,1634.5247,30306.49083
Nov 2005,10255.93686,31780.92471,52113.52191,23859.76908,60751.24904,27773.4078,27949.51643,43282.97178,1480.14707,26867.79156
Oct 2005,10506.21363,32201.65185,53781.47518,23740.23753,64936.67791,28471.56315,28138.59091,45892.15398,1527.71777,27201.64171
Sep 2005,11485.8397,36469.90405,56082.07149,24899.16318,74703.6953,32409.81012,30160.07876,54818.43413,1550.16092,27638.64286
Aug 2005,13606.12455,43664.12659,63835.70374,28892.86015,85058.15658,37239.15859,33584.9034,63397.16485,1665.0277,33997.4549
Jul 2005,13204.9999,42506.32938,63453.80027,28858.66145,83120.6768,36637.67193,34835.29225,62604.40829,1618.16704,35433.83916
Jun 2005,12069.3066,37679.35066,59586.7893,26570.43191,73295.89352,33769.79215,30328.70671,58763.33136,1447.92786,30160.10599
May 2005,10069.04845,31217.4284,49330.9794,23318.66847,61943.9656,29907.59032,28071.3394,50378.26068,1458.0439,29366.78532
Apr 2005,9691.97142,29966.59816,47206.91827,21443.69876,57571.37061,27430.65636,25310.25436,42312.50003,1378.916,27249.51592
Mar 2005,11123.39379,34746.59624,52739.76699,24347.40993,64260.50256,29914.75991,26168.69541,44488.43331,1424.35196,28244.36636
Feb 2005,10564.08803,31947.32299,49687.04491,23304.71342,59686.03247,28090.11748,25227.30705,42687.52856,1327.82441,25978.33629
Jan 2005,12078.45502,36138.78132,57537.74531,27350.50673,68470.85115,32623.17591,29038.65652,49157.92679,1586.65458,29138.70002
Dec 2004,11611.62774,35217.7193,58219.43338,26594.38486,67079.84743,33327.36775,29367.9593,49272.68681,1560.81081,29696.12602
Nov 2004,10486.64926,31304.81511,50834.54647,24163.13191,58390.34932,27743.57868,27177.35988,43721.61689,1483.27147,26795.93722
